NSDL Scheme Code,Scheme Name,Old Direct Plan - Base TER (%),New Direct Plan - Base TER (%),TER Date (Change),TER Reduction (%)
LICM/O/E/THE/07/11/0014,LIC MF Infrastructure Fund,0.7,0.81,2026-02-01,-0.11
LICM/O/E/THE/24/09/0029,LIC MF Manufacturing Fund,0.57,0.66,2026-02-01,-0.09
LICM/O/E/THE/25/09/0031,LIC MF Consumption Fund,0.48,0.61,2026-02-01,-0.13
LICM/O/H/AHF/91/01/0001,LIC MF Aggressive Hybrid Fund,1.17,1.16,2026-02-01,0.01
LICM/O/H/ARB/18/08/0022,LIC MF Arbitrage Fund,0.28,0.27,2026-02-01,0.01
LICM/O/H/BAF/21/10/0025,LIC MF Balanced Advantage Fund,0.65,1.0,2026-02-01,-0.35
LICM/O/H/ESF/10/11/0005,LIC MF Equity Savings Fund,1.0,1.13,2026-02-01,-0.13
LICM/O/H/MAA/24/12/0030,LIC MF Multi Asset Allocation Fund,0.53,0.52,2026-02-01,0.01
LICM/O/O/EIN/02/10/0011,LIC MF BSE Sensex Index Fund,0.64,0.67,2026-02-01,-0.03
LICM/O/O/FOD/12/02/0010,LIC MF Gold ETF Fund of Fund,0.24,0.34,2026-02-01,-0.1
LICM/O/S/CHI/01/09/0008,LIC MF Children's Fund,1.44,1.45,2026-02-01,-0.01
LTMF/O/E/ELS/05/09/0009,HSBC ELSS Tax saver Fund,0.99,1.0,2026-02-01,-0.01
LTMF/O/E/MIF/04/06/0006,HSBC Midcap Fund,0.52,0.51,2026-02-01,0.01
LTMF/O/E/SCF/14/02/0023,HSBC Small Cap Fund,0.56,0.55,2026-02-01,0.01
LTMF/O/E/SEC/07/05/0013,HSBC Infrastructure Fund,0.8,0.79,2026-02-01,0.01
LTMF/O/E/THE/14/07/0025,HSBC Business Cycles Fund,0.86,0.85,2026-02-01,0.01
LTMF/O/H/AHF/10/10/0018,HSBC Aggressive Hybrid Fund,0.67,0.66,2026-02-01,0.01
Lock-IN - AXIS/O/S/CHI/15/09/0020,Axis Children's Fund,1.17,1.18,2026-02-01,-0.01
MAHM/O/E /ELS/16/07/0002,Mahindra Manulife ELSS Tax Saver Fund,0.54,0.58,2026-02-01,-0.04
MAHM/O/E /FCF/21/06/0018,Mahindra Manulife Flexi Cap Fund,0.32,0.37,2026-02-01,-0.05
MAHM/O/E /FOC/20/05/0014,Mahindra Manulife Focused Fund,0.31,0.35,2026-02-01,-0.04
MAHM/O/E /LCF/18/09/0009,Mahindra Manulife Large Cap Fund,0.51,0.55,2026-02-01,-0.04
MAHM/O/E /LMF/19/07/0013,Mahindra Manulife Large & Mid Cap Fund,0.36,0.4,2026-02-01,-0.04
MAHM/O/E /MCF/17/01/0005,Mahindra Manulife Multi Cap Fund,0.31,0.36,2026-02-01,-0.05
MAHM/O/E /MIF/17/11/0006,Mahindra Manulife Mid Cap Fund,0.35,0.4,2026-02-01,-0.05
MAHM/O/E /THE/18/08/0008,Mahindra Manulife Consumption Fund,0.52,0.56,2026-02-01,-0.04
MAHM/O/E /THE/23/06/0021,Mahindra Manulife Business Cycle Fund,0.38,0.41,2026-02-01,-0.03
MAHM/O/E/SCF/22/07/0020,Mahindra Manulife Small Cap Fund,0.32,0.37,2026-02-01,-0.05
MAHM/O/E/THE/24/04/0023,Mahindra Manulife Manufacturing Fund,0.62,0.63,2026-02-01,-0.01
MAHM/O/E/VAF/24/12/0024,Mahindra Manulife Value Fund,0.41,0.4,2026-02-01,0.01
MAHM/O/H /AHF/19/01/0010,Mahindra Manulife Aggressive Hybrid Fund,0.33,0.35,2026-02-01,-0.02
MAHM/O/H /BAF/21/11/0019,Mahindra Manulife Balanced Advantage Fund,0.43,0.46,2026-02-01,-0.03
MAHM/O/H /ESF/16/10/0003,Mahindra Manulife Equity Savings Fund,0.56,0.62,2026-02-01,-0.06
MAHM/O/H/MAA/23/11/0022,Mahindra Manulife Multi Asset Allocation Fund,0.19,0.17,2026-02-01,0.02
MAHM/O/O /FOO/21/03/0017,Mahindra Manulife Asia Pacific REITs FOF,0.41,0.4,2026-02-01,0.01
MAHM/O/O/FOD/25/06/0026,Mahindra Manulife Income Plus Arbitrage Active FOF,0.12,0.16,2026-02-01,-0.04
MIRA/O/D/LON/24/10/0074,Mirae Asset Long Duration Fund,0.13,0.15,2026-02-01,-0.02
MIRA/O/D/LOW/08/02/0002,Mirae Asset Low Duration Fund,0.16,0.15,2026-02-01,0.01
MIRA/O/D/ONF/19/09/0016,Mirae Asset Overnight Fund,0.07,0.08,2026-02-01,-0.01
MIRA/O/D/SDF/17/12/0009,Mirae Asset Short Duration Fund,0.2,0.19,2026-02-01,0.01
MIRA/O/D/USD/20/07/0020,Mirae Asset Ultra Short Duration Fund,0.16,0.15,2026-02-01,0.01
MIRA/O/E/ELS/15/10/0007,Mirae Asset ELSS Tax Saver Fund,0.51,0.5,2026-02-01,0.01
MIRA/O/E/FCF/23/01/0044,Mirae Asset Flexi Cap Fund,0.34,0.33,2026-02-01,0.01
MIRA/O/E/FOC/19/03/0014,Mirae Asset Focused Fund,0.46,0.45,2026-02-01,0.01
MIRA/O/E/LCF/08/02/0001,Mirae Asset Large Cap Fund,0.43,0.42,2026-02-01,0.01
MIRA/O/E/LMF/09/11/0005,Mirae Asset Large & Midcap Fund,0.46,0.44,2026-02-01,0.02
MIRA/O/E/MCF/23/01/0052,Mirae Asset Multicap Fund,0.31,0.3,2026-02-01,0.01
MIRA/O/E/MIF/19/05/0015,Mirae Asset Midcap Fund,0.44,0.45,2026-02-01,-0.01
MIRA/O/E/SCF/24/10/0075,Mirae Asset Small Cap Fund,0.25,0.33,2026-02-01,-0.08
MIRA/O/E/SEC/09/08/0004,Mirae Asset Great Consumer Fund,0.32,0.33,2026-02-01,-0.01
MIRA/O/E/SEC/18/05/0010,Mirae Asset Healthcare Fund,0.37,0.36,2026-02-01,0.01
MIRA/O/E/SEC/20/09/0024,Mirae Asset Banking and Financial Services Fund,0.44,0.43,2026-02-01,0.01
MIRA/O/H/AHF/15/05/0006,Mirae Asset Aggressive Hybrid Fund,0.3,0.29,2026-02-01,0.01
MIRA/O/H/ARB/20/04/0019,Mirae Asset Arbitrage Fund,0.14,0.13,2026-02-01,0.01
MIRA/O/H/BAF/22/05/0038,Mirae Asset Balanced Advantage Fund,0.59,0.53,2026-02-01,0.06
MIRA/O/H/ESF/18/05/0011,Mirae Asset Equity Savings Fund,0.33,0.3,2026-02-01,0.03
MIRA/O/H/FOD/25/05/0084,Mirae Asset Income plus Arbitrage Active FOF,0.02,0.08,2026-02-01,-0.06
MIRA/O/H/MAA/23/12/0059,Mirae Asset Multi Asset Allocation Fund,0.22,0.23,2026-02-01,-0.01
MIRA/O/O/DIN/22/09/0042,Mirae Asset CRISIL IBX Gilt Index - April 2033 Index Fund,0.11,0.1,2026-02-01,0.01
MIRA/O/O/DIN/25/05/0083,Mirae Asset CRISIL-IBX Financial Services 9-12 Months Debt Index Fund,0.09,0.11,2026-02-01,-0.02
MIRA/O/O/FOD/21/08/0031,Mirae Asset S&P 500 Top 50 ETF Fund of Fund,0.03,0.04,2026-02-01,-0.01
MIRA/O/O/FOD/21/11/0035,Mirae Asset Nifty India Manufacturing ETF FOF,0.02,0.03,2026-02-01,-0.01
MIRA/O/O/FOD/24/01/0061,Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF Fund of Fund,0.06,0.02,2026-02-01,0.04
MIRA/O/O/FOD/24/02/0064,Mirae Asset Nifty200 Alpha 30 ETF Fund of Fund,0.07,0.03,2026-02-01,0.04
MIRA/O/O/FOD/24/03/0062,Mirae Asset Nifty MidSmallcap400 Momentum Quality 100 ETF Fund of Fund,0.04,0.01,2026-02-01,0.03
MIRA/O/O/FOD/24/09/0072,Mirae Asset Gold ETF Fund of Fund,0.09,0.1,2026-02-01,-0.01
MIRA/O/O/FOD/24/11/0077,Mirae Asset Nifty India New Age Consumption ETF Fund of Fund,0.23,0.15,2026-02-01,0.08
MIRA/O/O/FOD/24/12/0079,Mirae Asset BSE 200 Equal Weight ETF Fund of Fund,0.08,0.1,2026-02-01,-0.02
MIRA/O/O/FOD/24/12/0081,Mirae Asset BSE Select IPO ETF Fund of Fund,0.1,0.13,2026-02-01,-0.03
MIRA/O/O/FOD/25/06/0086,Mirae Asset Multi Factor Passive FOF,0.05,0.1,2026-02-01,-0.05
MIRA/O/O/FOD/25/07/0087,Mirae Asset Gold Silver Passive FoF,0.05,0.11,2026-02-01,-0.06
MIRA/O/O/OIN/24/05/0069,Mirae Asset Nifty 50 Index Fund,0.15,0.17,2026-02-01,-0.02
MIRA/O/O/OIN/24/05/0071,Mirae Asset Nifty Total Market Index Fund,0.26,0.28,2026-02-01,-0.02
MIRA/O/O/OIN/24/06/0070,Mirae Asset Nifty LargeMidcap 250 Index Fund,0.28,0.29,2026-02-01,-0.01
MOTO/O/E/ELS/14/12/0008,Motilal Oswal ELSS Tax Saver Fund,0.57,0.56,2026-02-01,0.01
MOTO/O/E/FCF/14/02/0007,Motilal Oswal Flexi Cap Fund,0.68,0.67,2026-02-01,0.01
MOTO/O/E/FOC/13/03/0004,Motilal Oswal Focused Fund,0.82,0.81,2026-02-01,0.01
MOTO/O/E/LCF/23/12/0045,Motilal Oswal Large Cap Fund,0.66,0.64,2026-02-01,0.02
MOTO/O/E/LMF/19/03/0013,Motilal Oswal Large and Midcap Fund,0.58,0.56,2026-02-01,0.02
MOTO/O/E/MCF/23/12/0048,Motilal Oswal Multi Cap Fund,0.59,0.66,2026-02-01,-0.07
MOTO/O/E/MIF/14/01/0006,Motilal Oswal Midcap Fund,0.63,0.61,2026-02-01,0.02
MOTO/O/E/SCF/23/10/0044,Motilal Oswal Small Cap Fund,0.54,0.58,2026-02-01,-0.04
MOTO/O/E/SEC/25/04/0074,Motilal Oswal Services Fund,1.3,0.9,2026-02-01,0.4
MOTO/O/E/THE/24/06/0052,Motilal Oswal Manufacturing Fund,0.75,0.82,2026-02-01,-0.07
MOTO/O/E/THE/24/06/0053,Motilal Oswal Business Cycle Fund,0.92,0.91,2026-02-01,0.01
MOTO/O/E/THE/24/07/0057,Motilal Oswal Digital India Fund,0.67,0.73,2026-02-01,-0.06
MOTO/O/E/THE/24/12/0068,Motilal Oswal Infrastructure Fund,1.3,0.9,2026-02-01,0.4
MOTO/O/E/THE/25/04/0082,Motilal Oswal Consumption Fund,0.51,0.33,2026-02-01,0.18
MOTO/O/H/DAA/16/08/0009,Motilal Oswal Balanced Advantage Fund,0.84,0.86,2026-02-01,-0.02
MOTO/O/O/EIN/20/03/0020,Motilal Oswal S&P 500 Index Fund,0.49,0.5,2026-02-01,-0.01
MOTO/O/O/EIN/21/12/0029,Motilal Oswal BSE Low Volatility Index Fund,0.28,0.26,2026-02-01,0.02
MOTO/O/O/FOD/18/10/0011,Motilal Oswal Nasdaq 100 Fund of Fund,0.14,0.13,2026-02-01,0.01
MOTO/O/O/FOD/25/09/0088,Motilal Oswal Diversified Equity Flexicap Passive Fund of Funds,0.06,0.04,2026-02-01,0.02
MOTO/O/O/OIN/24/05/0050,Motilal Oswal Nifty India Defence Index Fund,0.38,0.41,2026-02-01,-0.03
MOTO/O/O/OIN/24/07/0056,Motilal Oswal Nifty 500 Momentum 50 Index Fund,0.31,0.33,2026-02-01,-0.02
NIMF/I/D/XXX/07/02/0035,Nippon India Interval Fund-Quarterly Interval Fund Serie-II,0.05,0.1,2026-02-01,-0.05
NIMF/O/D/CBF/00/08/0004,Nippon India Corporate Bond Fund,0.32,0.31,2026-02-01,0.01
NIMF/O/D/LIF/00/12/0005,Nippon India Liquid Fund,0.2,0.18,2026-02-01,0.02
NIMF/O/D/LON/18/05/0065,Nippon India Nivesh Lakshya Long Duration Fund,0.3,0.29,2026-02-01,0.01
NIMF/O/D/MDF/14/03/0050,Nippon India Medium Duration Fund (Existing Number of Segregated Portfolios - 1),0.38,0.39,2026-02-01,-0.01
NIMF/O/D/SDF/02/10/0008,Nippon India Short Duration Fund,0.33,0.32,2026-02-01,0.01
NIMF/O/D/USD/00/12/0006,Nippon India Ultra Short Duration Fund,0.34,0.33,2026-02-01,0.01
NIMF/O/E/ELS/05/07/0027,Nippon India ELSS Tax Saver Fund,0.88,0.87,2026-02-01,0.01
NIMF/O/E/FCF/21/06/0115,Nippon India Flexi Cap Fund,0.34,0.35,2026-02-01,-0.01
NIMF/O/E/FOC/18/04/0064,Nippon India Focused Fund,0.92,0.93,2026-02-01,-0.01
NIMF/O/E/LCF/06/01/0028,Nippon India Large Cap Fund,0.52,0.51,2026-02-01,0.01
NIMF/O/E/LMF/95/08/0002,Nippon India Vision Large & Mid Cap Fund,0.96,0.95,2026-02-01,0.01
NIMF/O/E/MCF/05/01/0025,Nippon India Multi Cap Fund,0.57,0.55,2026-02-01,0.02
NIMF/O/E/MIF/95/08/0001,Nippon India Growth Mid Cap Fund,0.59,0.57,2026-02-01,0.02
NIMF/O/E/SCF/10/07/0044,Nippon India Small Cap Fund,0.53,0.51,2026-02-01,0.02
NIMF/O/E/SEC/03/04/0011,Nippon India Banking & Financial Services Fund,0.78,0.77,2026-02-01,0.01
NIMF/O/E/SEC/04/02/0014,Nippon India Pharma Fund,0.74,0.73,2026-02-01,0.01
NIMF/O/E/SEC/04/03/0015,Nippon India Power & Infra Fund,0.78,0.77,2026-02-01,0.01
NIMF/O/E/THE/04/04/0016,Nippon India Consumption Fund,0.47,0.46,2026-02-01,0.01
NIMF/O/E/THE/15/01/0056,Nippon India US Equity Opportunities Fund,1.02,1.03,2026-02-01,-0.01
NIMF/O/E/THE/21/10/0118,Nippon India Taiwan Equity Fund,0.86,0.87,2026-02-01,-0.01
NIMF/O/E/THE/23/02/0140,Nippon India Innovation Fund,0.52,0.51,2026-02-01,0.01
NIMF/O/E/VAF/04/11/0023,Nippon India Value Fund,0.88,0.87,2026-02-01,0.01
NIMF/O/H/ARB/10/03/0043,Nippon India Arbitrage Fund,0.33,0.29,2026-02-01,0.04
NIMF/O/H/DAA/04/04/0017,Nippon India Balanced Advantage Fund,0.44,0.43,2026-02-01,0.01
NIMF/O/H/ESF/14/12/0055,Nippon India Equity Savings Fund (Existing number of Segregated Portfolios - 2),0.59,0.43,2026-02-01,0.16
NIMF/O/H/MAA/20/01/0106,Nippon India Multi Asset Allocation Fund,0.17,0.18,2026-02-01,-0.01
NIMF/O/O/DET/25/06/0161,Nippon India Nifty 1D Rate Liquid ETF- Growth,0.44,0.42,2026-02-01,0.02
NIMF/O/O/DIN/22/09/0125,Nippon India Nifty AAA PSU Bond Plus SDL - Sep 2026 Maturity 50:50 Index Fund,0.19,0.18,2026-02-01,0.01
NIMF/O/O/EET/07/10/0037,Nippon India ETF Nifty PSU Bank BeES,0.45,0.43,2026-02-01,0.02
NIMF/O/O/EIN/20/03/0109,Nippon India Nifty Smallcap 250 Index Fund,0.32,0.31,2026-02-01,0.01
NIMF/O/O/EIN/21/10/0123,Nippon India Nifty Alpha Low Volatility30IndexFund,0.32,0.31,2026-02-01,0.01
NIMF/O/O/EIN/25/02/0164,NIPPON INDIA NIFTY INDIA MANUFACTURING INDEX FUND,0.25,0.24,2026-02-01,0.01
NIMF/O/O/FOD/20/01/0105,Nippon India Multi - Asset Omni FoF,0.06,0.05,2026-02-01,0.01
NIMF/O/S/RET/14/07/0052,Nippon India Retirement Fund- Wealth Creation Scheme,0.85,0.84,2026-02-01,0.01
NJMF/O/E/FCF/23/02/0005,NJ Flexi Cap Fund,0.38,0.37,2026-02-01,0.01
NSDL Code not allocated,UTI - Unit Linked Insurance Plan,0.85,0.86,2026-02-01,-0.01
OLDB/O/E/MCF/23/11/0001,Old Bridge Focused Fund,0.8,0.79,2026-02-01,0.01
PGIM/O/D/DBF/11/10/0012,PGIM India Dynamic Bond Fund,0.4,0.41,2026-02-01,-0.01
PGIM/O/D/MMF/19/12/0021,PGIM India Money Market Fund,0.2,0.19,2026-02-01,0.01
PGIM/O/D/ONF/19/02/0020,PGIM India Overnight Fund,0.14,0.16,2026-02-01,-0.02
PGIM/O/E/ELS/15/05/0017,PGIM India ELSS Tax Saver Fund,0.65,0.64,2026-02-01,0.01
PGIM/O/E/FCF/13/12/0015,PGIM India Flexi cap fund,0.34,0.38,2026-02-01,-0.04
PGIM/O/E/LCF/02/12/0003,PGIM India Large Cap Fund,0.69,0.68,2026-02-01,0.01
PGIM/O/E/LMF/23/07/0026,PGIM India Large and Midcap Fund,0.49,0.48,2026-02-01,0.01
PGIM/O/E/MIF/13/08/0014,PGIM India Midcap Fund,0.36,0.4,2026-02-01,-0.04
PGIM/O/E/SCF/21/06/0023,PGIM India Small Cap Fund,0.45,0.44,2026-02-01,0.01
PGIM/O/H/AHF/04/01/0006,PGIM India Aggressive Hybrid Equity Fund,0.63,0.64,2026-02-01,-0.01
PGIM/O/H/ARB/14/06/0016,PGIM India Arbitrage Fund,0.33,0.34,2026-02-01,-0.01
PGIM/O/H/BAF/20/09/0022,PGIM India Balanced Advantage Fund,0.46,0.47,2026-02-01,-0.01
PGIM/O/H/MAA/25/08/0030,PGIM India Multi Asset Allocation Fund,0.5,0.44,2026-02-01,0.06
PGIM/O/O/DIN/23/01/0025,PGIM India CRISIL IBX Gilt Index - Apr 2028 Fund,0.33,0.48,2026-02-01,-0.15
PGIM/O/O/FOO/10/02/0011,PGIM India Global Equity Opportunities Fund of Fund,0.49,0.48,2026-02-01,0.01
QNTM/O/D/GIL/22/11/0017,QUANT GILT FUND,0.31,0.28,2026-02-01,0.03
QNTM/O/D/LIF/05/09/0007,QUANT LIQUID FUND,0.19,0.2,2026-02-01,-0.01
QNTM/O/D/ONF/22/11/0016,QUANT OVERNIGHT FUND,0.14,0.11,2026-02-01,0.03
QNTM/O/E/DAA/23/02/0018,Quant Dynamic Asset Allocation Fund,0.62,0.65,2026-02-01,-0.03
QNTM/O/E/ELS/00/03/0002,Quant ELSS Tax Saver Fund,0.58,0.64,2026-02-01,-0.06
QNTM/O/E/FCF/08/08/0011,QUANT FLEXI CAP FUND,0.57,0.56,2026-02-01,0.01
QNTM/O/E/FOC/08/07/0010,QUANT FOCUSED FUND,0.67,0.66,2026-02-01,0.01
QNTM/O/E/LCF/22/05/0015,QUANT LARGE CAP FUND,0.39,0.38,2026-02-01,0.01
QNTM/O/E/LMF/06/11/0008,QUANT LARGE & MID CAP FUND,0.59,0.61,2026-02-01,-0.02
QNTM/O/E/MCF/01/02/0004,Quant Multi Cap Fund,0.54,0.56,2026-02-01,-0.02
QNTM/O/E/MIF/01/02/0003,QUANT MID CAP FUND,0.62,0.65,2026-02-01,-0.03
QNTM/O/E/SCF/96/09/0001,QUANT SMALL CAP FUND,0.61,0.63,2026-02-01,-0.02
QNTM/O/E/THE/07/07/0009,QUANT INFRASTRUCTURE FUND,0.59,0.64,2026-02-01,-0.05
QNTM/O/E/THE/20/09/0012,Quant ESG Integration Strategy Fund,0.76,0.74,2026-02-01,0.02
QNTM/O/E/THE/21/03/0013,QUANT QUANTAMENTAL FUND,0.65,0.69,2026-02-01,-0.04
QNTM/O/E/THE/23/03/0019,QUANT BUSINESS CYCLE FUND,0.56,0.57,2026-02-01,-0.01
QNTM/O/E/THE/23/03/0020,Quant BFSI Fund,0.62,0.6,2026-02-01,0.02
QNTM/O/E/THE/23/04/0022,Quant Manufacturing Fund,0.81,0.83,2026-02-01,-0.02
QNTM/O/E/THE/23/09/0024,Quant Momentum Fund,0.81,0.83,2026-02-01,-0.02
QNTM/O/E/THE/23/11/0026,Quant Consumption Fund,0.77,0.71,2026-02-01,0.06
QNTM/O/E/THE/23/11/0027,Quant PSU Fund,0.88,0.91,2026-02-01,-0.03
QNTM/O/E/VAF/21/10/0014,QUANT VALUE FUND,0.45,0.44,2026-02-01,0.01
QNTM/O/H/AHF/01/02/0005,Quant Aggressive Hybrid Fund,0.65,0.64,2026-02-01,0.01
QNTM/O/H/ARB/25/02/0028,Quant Arbitrage Fund,0.23,0.2,2026-02-01,0.03
QTMM/O/D/DBF/15/03/0009,QUANTUM DYNAMIC BOND FUND,0.45,0.44,2026-02-01,0.01
